Inf,Name,Position,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Jorge Herrando,D (C),22,6,8,8,10,10,4,15,10,9,14,11,10,14,10,13,15,14,11,13,11,11,8,11,8,14,14,10,12,9,11,13,15,13,9,13,14,123,135
,Aziz Behich,D/WB/M (L),32,11,13,13,7,7,6,5,6,11,9,11,8,10,12,15,12,13,13,10,10,10,5,7,13,8,14,8,14,14,14,11,7,12,12,14,11,110,130
,Junior Onana,DM/ M (C),23,8,6,12,9,12,9,14,9,9,13,12,10,14,10,17,13,13,11,14,13,13,9,8,8,10,14,12,12,13,11,13,14,13,12,13,14,119,144
,Florinel Coman,AM (L),25,13,12,13,13,13,12,10,13,6,5,13,12,7,14,10,12,10,13,11,12,10,14,11,14,7,11,13,12,14,14,12,11,14,15,11,12,126,135
,Raúl García,ST (C),22,7,10,13,16,12,7,14,10,7,5,12,16,7,13,12,11,12,13,12,11,11,10,10,15,10,12,11,13,13,14,12,15,14,13,13,13,130,138
,Wendel,DM/ M/AM (C),25,12,13,14,10,13,11,8,14,12,11,16,10,11,15,11,12,14,14,12,14,10,13,12,13,13,15,14,13,14,14,13,9,14,14,14,10,141,150
,Kwabena Owusu,AM (RL)/ ST (C),26,8,10,14,12,12,7,10,10,4,3,11,10,6,14,12,10,8,10,9,10,7,12,5,11,10,7,9,10,14,14,11,10,13,13,13,12,115,128
,Aihen Muñoz,D/WB (L),25,8,12,13,9,12,10,10,12,12,14,13,9,15,14,15,13,13,13,14,14,11,7,11,12,15,14,13,16,14,13,14,8,13,13,14,12,136,147
,Karim Onisiwo,AM (C)/ ST (C),31,2,8,13,11,11,3,13,8,6,7,11,11,8,12,16,12,16,11,12,12,16,14,13,12,8,16,11,18,16,12,15,14,15,15,16,15,130,134
,Peter Zulj,DM/ M/AM (C),30,10,9,12,13,12,13,8,13,6,11,12,13,12,13,10,12,12,12,12,12,10,10,7,14,13,11,12,12,11,12,13,14,12,11,11,13,119,135
,Bruno Onyemaechi,D (LC)/ WB (L),24,11,12,11,8,12,10,13,8,4,11,11,8,13,12,11,12,12,10,13,11,12,13,11,12,11,12,11,14,15,13,13,13,17,15,15,14,129,135
,Agustín Nadruz,DM,27,11,10,8,9,10,12,13,13,8,13,10,7,13,10,8,11,13,13,13,10,4,8,13,11,13,15,13,12,10,11,12,13,8,11,12,12,111,116
Inj,Omri Altman,M (C)/ AM (LC),29,12,11,12,11,14,13,9,12,4,7,12,15,8,13,8,10,9,12,10,13,9,13,11,13,9,11,13,9,12,13,13,9,6,11,11,10,112,120
,Marius Mouandilmadji,ST (C),25,7,7,10,14,9,3,12,11,8,7,9,10,8,11,15,12,13,10,11,9,10,12,7,12,9,13,8,13,16,11,12,15,13,15,12,12,115,130
,Tomás Araújo,D (C),21,5,9,10,7,13,5,13,5,8,13,14,5,13,13,11,13,13,14,12,14,12,12,12,8,12,13,13,12,13,13,12,13,15,13,13,13,126,145
,Cebio Soukou,AM (RL)/ ST (C),30,8,10,14,11,12,10,8,10,8,5,11,9,5,13,12,9,12,10,12,8,9,14,5,10,7,9,13,8,12,12,13,12,13,13,12,14,105,110
,Mert Müldür,D/WB (R),24,4,10,12,6,13,6,12,6,10,11,12,4,13,13,14,12,15,11,9,12,14,10,10,13,12,13,11,13,14,13,15,12,11,13,15,13,125,140
,Matthias Seidl,M/AM (C),22,8,7,12,8,12,9,10,9,6,8,12,8,9,13,9,13,13,13,12,12,16,9,9,14,9,14,12,15,11,13,13,8,13,13,14,13,121,139
,Olivier Thill,DM/ M/AM (C),26,14,12,12,8,13,13,6,12,4,7,12,12,8,14,8,13,9,13,8,12,10,12,9,12,8,13,14,11,10,12,10,7,11,9,10,9,100,125
,Timo Horn,GK,30,3,2,3,3,7,6,6,1,2,2,10,3,2,8,8,13,13,11,12,12,11,3,12,3,13,12,9,10,8,13,14,16,13,11,10,16,122,141
,Javi Puado,AM (RLC)/ ST (C),25,8,11,13,13,12,8,9,12,5,8,11,12,7,14,9,12,11,14,12,13,11,13,9,16,8,13,13,13,15,15,10,9,13,14,11,11,131,142
,Lars Unnerstall,GK,32,3,2,3,3,7,8,5,3,1,3,8,2,1,8,7,14,12,14,14,12,8,1,14,3,15,14,7,14,9,14,16,18,13,9,13,17,139,140
,Sébastien Siani,DM/ M (C),36,10,10,13,11,12,7,8,7,8,5,11,18,10,14,14,10,13,9,12,13,13,11,17,14,6,15,12,16,12,12,12,7,10,11,12,14,98,123
Ret,Samir Ujkani,GK,34,1,1,7,1,8,1,9,1,5,1,8,1,5,8,2,13,12,13,12,11,13,9,10,5,12,10,7,12,11,11,12,13,14,9,10,11,104,134
,Colin Coosemans,GK,30,4,3,1,3,10,7,6,2,2,2,10,5,1,10,14,12,11,12,12,12,8,12,7,2,9,12,10,8,13,12,10,11,8,13,11,10,114,125
,Ryan Mendes da Graça,M/AM (RL),33,7,11,15,12,13,7,10,10,5,5,12,11,5,14,8,11,10,11,10,9,11,15,8,12,7,12,11,12,14,15,12,7,14,14,12,8,115,135
,Arijanet Murić,GK,24,4,3,3,3,13,8,4,2,3,2,12,2,2,12,16,14,17,12,13,12,13,1,7,3,12,12,11,11,12,12,12,18,12,15,9,13,128,145
,Dan Biton,M (C)/ AM (RLC),27,12,14,15,11,13,15,4,13,5,4,14,14,6,15,9,11,10,11,13,13,10,14,10,12,6,12,15,12,11,13,11,8,10,13,12,10,120,123
,Mats Rits,DM/ M (C),29,10,10,13,11,14,10,8,11,4,10,14,14,9,14,15,13,13,11,14,14,7,14,12,15,7,15,14,14,10,10,12,10,9,11,16,11,123,132
,Hendrik Van Crombrugge,GK,30,4,2,10,2,12,8,12,2,1,2,14,12,3,11,7,11,14,13,14,13,11,3,13,3,10,14,10,14,12,12,12,14,12,12,12,11,124,135
,Eden Kartsev,D (R)/ DM/ M/AM (C),23,8,8,10,8,11,11,10,12,14,11,10,8,12,10,15,13,15,10,10,10,13,10,13,10,12,14,11,16,9,12,13,13,15,12,13,14,115,138
,Qaiis Ghanem,AM (C)/ ST (C),25,11,9,10,11,9,10,12,11,5,8,14,10,11,14,15,11,11,8,9,10,12,14,8,14,12,15,10,14,12,9,11,16,11,12,13,11,105,125
,Laurent Depoitre,ST (C),34,8,8,9,12,10,10,14,11,3,10,11,8,9,11,13,12,14,14,14,13,10,10,13,13,7,15,11,18,9,10,17,16,8,8,14,16,114,130
,Eliaquim Mangala,D (C),32,7,7,8,9,12,8,15,8,12,13,10,10,13,12,17,12,13,10,10,11,14,8,10,11,12,12,8,12,12,12,14,15,6,12,12,13,119,145
,Ben Cabango,D (C),23,4,6,7,8,9,4,16,5,9,14,10,5,16,8,14,13,16,9,12,11,11,7,12,6,14,12,9,14,10,9,8,15,12,11,14,17,122,138
,Ofri Arad,D (C)/ DM,24,4,3,9,8,11,7,13,6,6,12,12,11,11,10,12,12,13,10,10,12,12,8,13,8,13,13,8,14,10,11,12,11,13,10,14,12,103,133
,George Puşcaş,AM (L)/ ST (C),27,8,10,11,13,11,11,15,11,9,3,10,16,7,12,16,11,16,11,11,9,13,10,8,13,8,10,8,15,14,12,12,13,11,13,12,15,120,125
,Adrian Păun,M (C)/ AM (L),28,12,14,13,11,10,11,7,10,5,9,11,10,8,12,13,12,13,12,14,11,12,14,10,14,10,13,10,14,12,14,12,10,13,13,14,11,115,122
,Boban Nikolov,M (C),28,8,8,11,11,12,8,5,9,8,12,11,10,13,10,14,13,15,12,12,12,12,8,7,12,13,16,9,16,11,13,8,9,14,11,15,11,110,121
,Gabriel Neves,DM/ M (C),25,14,14,11,8,13,13,9,11,5,13,15,7,11,14,13,13,12,14,14,14,10,11,9,11,14,14,15,10,12,13,10,7,11,10,11,10,128,141
,Renaud Emond,AM (C)/ ST (C),31,10,11,11,13,13,10,11,10,8,10,11,9,10,12,12,11,12,14,14,12,9,12,12,14,12,15,11,14,12,13,12,10,8,12,14,11,119,120
,Guilherme,D/WB/M (L),33,13,12,12,7,12,13,5,13,14,13,12,12,13,13,11,14,13,13,13,13,11,10,12,11,13,14,12,15,12,13,13,9,13,14,13,12,125,130
,Nicuşor Bancu,D/WB (L),30,13,14,12,11,13,8,8,11,12,10,14,9,11,13,11,12,12,13,12,13,11,12,14,13,8,15,13,15,12,13,13,8,13,13,13,10,124,125
,Bogdan Ţîru,D (C),29,5,9,8,10,11,8,13,10,9,13,12,8,13,10,15,12,15,11,11,11,12,10,14,13,13,13,11,14,11,12,13,13,13,12,12,13,113,120
,Nicolae Stanciu,M/AM (RC),30,13,13,15,14,15,14,7,15,3,6,16,13,6,15,9,13,10,14,13,15,9,15,12,14,9,11,15,12,12,14,13,7,15,12,12,8,135,140
,Dan Nistor,M (C),35,12,12,13,11,13,12,8,13,2,9,13,12,10,13,15,13,13,14,13,13,14,12,16,13,10,13,14,13,11,13,13,7,15,11,13,10,120,130
Inj,Rhian Brewster,ST (C),23,7,10,12,16,12,14,10,12,7,8,11,13,8,15,15,14,15,13,10,12,14,14,6,13,7,10,13,9,14,14,15,10,12,14,13,9,124,138
,Florin Niţă,GK,36,2,4,3,2,9,3,10,2,2,5,12,3,7,10,10,12,13,13,13,11,9,2,12,5,12,10,10,9,9,13,13,13,15,6,10,13,115,125
,Siebe Schrijvers,M (C)/ AM (RLC)/ ST (C),26,9,13,13,12,12,12,11,13,10,3,14,12,5,12,6,14,14,14,12,13,7,15,8,12,5,14,15,12,12,12,7,6,10,13,10,8,116,116
,Gaetan Hendrickx,M/AM (LC),28,10,10,13,10,12,9,6,10,1,5,12,14,9,13,14,11,13,13,15,14,13,14,8,12,8,14,14,14,13,11,7,6,9,13,16,7,116,125
Inj,Björn Engels,D (C),28,8,8,9,8,12,9,15,11,12,14,13,10,14,12,13,12,15,12,13,11,10,10,14,9,13,12,13,12,10,9,13,16,8,10,13,13,121,130
,Nikola Storm,AM (RLC),28,13,14,11,9,12,9,8,10,8,7,12,8,7,12,8,12,15,10,14,12,12,12,8,14,9,11,10,13,15,13,8,8,13,15,12,8,122,125
,Boli Bolingoli,D/WB (L),28,7,8,10,7,11,6,11,9,6,11,12,7,7,12,14,11,13,11,10,8,12,13,8,12,9,14,12,14,16,14,10,12,13,15,16,11,113,120
Wnt,Thomas Foket,D/WB/M (R),28,11,14,12,8,12,9,11,9,8,13,12,8,13,14,8,12,14,13,14,13,13,10,10,11,14,15,10,14,14,12,12,8,15,14,15,12,130,140
,Paul Anton,DM/ M (C),32,9,10,11,10,12,12,11,12,4,12,12,7,10,12,15,13,14,12,13,13,13,11,16,11,12,13,11,13,11,10,13,11,14,11,10,12,104,126
,Clinton Mata,D (RC)/ WB/M (R),30,7,12,12,7,11,12,10,9,13,15,13,12,13,12,14,13,15,12,15,12,13,14,14,14,14,15,11,14,13,12,13,10,15,14,14,14,133,140
,Diawandou Diagne,D (RC)/ WB (R)/ DM,28,9,8,12,4,12,9,12,10,12,13,12,10,14,12,14,11,15,12,9,11,10,9,11,6,8,14,10,14,14,13,12,10,16,13,12,12,108,108
,Pablo Torre,M (C)/ AM (LC),20,14,11,13,11,15,14,6,11,6,5,16,14,9,16,12,11,14,12,11,14,12,16,10,12,8,13,16,11,12,15,12,7,13,11,12,9,130,150
,José Machín,DM/ M/AM (C),26,12,11,13,13,13,10,10,12,6,12,12,10,12,12,12,11,12,11,13,13,14,12,11,14,12,12,12,12,13,12,13,10,15,13,13,14,121,130
,Theo Bongonda,M (RL)/ AM (RLC),27,10,12,14,12,14,11,7,16,7,6,12,7,8,15,12,12,12,11,11,11,10,15,12,14,8,12,11,13,15,14,12,9,10,15,13,9,136,142
,Senna Miangué,D (LC)/ WB (L),26,5,11,9,6,9,5,13,6,12,12,12,5,12,8,12,11,14,12,11,11,9,8,7,11,12,13,8,14,13,13,12,14,15,14,13,14,115,116
Loa,Cyriel Dessers,ST (C),28,6,7,10,13,12,10,13,9,9,6,10,13,6,11,9,13,14,8,12,12,10,14,8,13,6,12,11,14,13,12,13,12,13,14,14,13,119,130
,Kaan Ayhan,D (RC)/ DM,28,7,9,8,7,12,10,17,10,7,13,14,9,13,12,14,14,13,15,14,15,14,8,16,10,14,16,12,11,8,10,14,12,14,10,13,14,130,134
,Mile Svilar,GK,23,3,2,3,3,12,1,9,2,3,3,12,3,2,12,14,11,15,13,11,12,13,8,5,5,10,10,9,8,14,14,11,15,12,13,11,13,131,140
Wnt,Max Meyer,M (LC)/ AM (C),27,10,12,12,11,14,9,8,11,3,9,14,10,10,15,10,12,11,13,7,12,7,11,13,12,10,15,14,15,13,15,11,5,12,12,13,10,125,150
,Manuel Benson,M/AM (RL)/ ST (C),26,13,12,15,11,13,11,4,14,6,4,12,12,4,14,6,11,14,10,12,12,10,12,5,8,5,10,10,10,15,13,6,6,12,16,11,8,129,135
,Karim Hafez,D/WB (L),27,10,14,14,8,12,9,8,8,10,8,12,12,9,13,9,11,12,11,10,11,9,13,7,13,9,12,9,12,14,13,11,7,12,14,12,12,108,115
Sus,Bartosz Salamon,D (C),32,7,9,8,7,12,9,14,10,10,14,11,9,13,11,14,13,12,10,12,13,12,7,13,8,13,13,9,13,9,11,14,17,15,10,15,14,122,129
Wnt,Serdar Saatçı,D (C),20,8,7,12,8,13,5,12,6,7,13,13,8,16,14,15,13,15,12,9,12,11,6,8,8,12,14,12,13,13,11,14,13,15,14,13,15,127,132
,Ahmed Touba,D (LC),25,7,10,11,7,12,8,14,7,7,13,10,8,12,13,16,11,15,13,13,12,10,12,7,11,12,13,7,12,12,12,12,14,14,13,13,14,116,125
,Henry Onyekuru,AM (L),26,7,9,13,12,13,6,8,10,2,4,10,10,6,13,12,12,8,10,9,11,8,14,6,17,6,9,12,12,17,16,13,8,13,15,13,8,125,135
,Cyril Ngongé,M (R)/ AM (RC)/ ST (C),23,12,12,14,14,13,9,13,13,6,4,10,14,4,14,13,14,14,12,10,10,6,14,8,14,4,13,10,11,16,15,12,9,10,16,12,9,138,148
,Pietro Terracciano,GK,33,5,3,2,1,9,9,10,1,1,3,10,1,1,9,4,13,14,14,13,10,11,8,12,7,15,14,11,12,11,12,15,17,13,9,13,14,137,143
,Pol Lirola,D/WB/M (R),25,8,14,13,7,12,10,10,9,10,11,13,8,12,14,12,11,12,12,12,12,11,12,8,12,11,11,12,12,15,14,13,10,12,14,13,12,130,140
Wnt,Edon Zhegrova,M (RL)/ AM (RLC),24,12,14,16,13,17,10,4,13,4,4,14,12,6,16,7,14,14,13,12,12,9,17,9,14,5,12,11,12,15,16,14,7,12,16,12,8,143,149
,Hassane Bandé,AM (RL)/ ST (C),24,8,10,14,12,12,9,10,9,5,5,10,8,5,13,11,9,13,12,9,8,10,14,5,10,5,11,11,13,15,14,9,8,7,15,10,8,110,125
,Chiquinho,AM (RL),23,10,14,16,12,14,7,8,11,8,7,11,11,11,15,15,12,12,9,8,10,11,16,8,13,6,8,12,13,16,15,11,10,14,14,12,10,126,144
,Gil Dias,D/WB (L)/ M/AM (RL),26,11,10,15,9,13,11,7,10,12,8,11,10,12,14,13,11,13,10,8,8,10,14,5,12,9,11,11,12,14,13,11,10,13,14,13,10,120,130
,Aias Aosman,M/AM (C),28,14,13,13,12,14,14,6,13,3,5,13,13,6,14,12,11,8,12,9,9,8,16,4,13,8,9,13,10,11,11,12,7,10,10,10,9,105,120
,Marco Capuano,D (LC),31,6,10,6,6,10,7,13,11,11,13,11,5,12,10,12,12,13,12,13,11,14,6,13,7,13,13,7,12,11,11,13,12,12,11,12,14,108,127
,Giulio Donati,D (RC)/ WB (R),33,7,10,11,6,11,5,10,7,13,12,11,6,12,10,12,13,13,10,12,12,15,6,12,10,13,16,8,13,13,13,13,9,16,14,13,12,114,129
,Nuno Tavares,D/WB/M (L),23,11,12,13,8,13,8,9,11,11,10,12,7,13,13,12,10,13,10,8,10,10,12,6,13,9,13,13,13,17,14,12,12,16,16,14,13,136,145
,Aster Vranckx,DM/ M/AM (C),20,11,11,13,8,13,11,10,11,7,11,13,11,13,13,13,12,14,13,13,12,13,10,13,13,12,15,12,14,12,13,12,10,13,12,16,12,127,145
,Iñigo Córdoba,M (L)/ AM (RL)/ ST (C),26,13,14,14,10,14,12,8,10,7,7,13,11,6,14,10,13,13,11,13,12,10,11,8,13,6,11,12,14,13,13,13,10,12,14,11,12,124,130
,Elkeson,AM (L)/ ST (C),33,10,11,14,14,13,14,14,13,7,6,12,13,8,14,9,14,11,13,12,14,13,14,4,14,8,12,12,12,10,10,11,11,12,11,10,12,118,150
Wnt,Kike Barja,M/AM (RL),26,13,13,13,12,13,8,8,11,6,6,13,13,7,14,11,10,14,10,12,13,14,14,11,13,12,14,12,13,14,13,11,8,11,14,13,11,128,142
Loa,Samuel Iling,WB/M/AM (L),19,12,14,14,12,12,7,11,11,7,6,11,11,8,13,10,11,11,12,9,10,11,14,8,13,8,10,10,10,15,11,13,11,14,15,12,13,127,150
,Gary Kagelmacher,D (RC),35,8,11,9,5,9,5,13,8,11,11,12,7,13,10,14,12,14,10,11,13,15,8,15,7,13,13,9,12,9,8,14,11,13,12,12,13,105,125
,Roberto Inglese,ST (C),31,4,6,12,12,13,5,14,9,3,3,12,12,4,13,12,13,12,11,13,13,10,12,9,14,5,14,12,16,12,12,14,14,11,12,12,13,117,136
,Willian Arão,D (C)/ DM/ M (C),31,9,7,9,10,12,8,15,9,7,13,14,11,14,11,13,12,16,13,10,11,11,9,10,9,14,13,9,13,10,11,14,12,12,10,13,14,126,135
,Geraldo,AM (RLC)/ ST (C),31,5,10,15,9,12,9,8,11,5,4,13,7,5,13,9,10,8,11,6,9,10,15,8,13,5,10,10,9,15,15,10,6,14,13,11,8,115,120
,Lorenzo Tonelli,D (C),33,4,6,9,8,12,4,15,4,4,13,10,5,14,9,17,12,15,14,10,11,12,7,14,6,12,13,10,13,10,11,13,14,8,10,12,12,108,139
,Asier Villalibre,ST (C),25,7,11,11,15,12,8,14,12,7,7,11,16,8,12,13,13,14,12,13,12,13,13,14,14,13,13,11,16,12,12,12,12,12,13,14,15,130,142
FrA,Simone Zaza,ST (C),32,6,8,10,13,13,10,14,14,5,7,12,12,9,13,17,13,18,13,12,11,13,13,13,14,6,14,11,13,12,12,13,15,12,13,11,14,117,148
,Chiquinho,M/AM (C),27,12,12,13,8,14,13,10,8,6,8,14,13,12,15,12,9,10,15,10,14,12,11,8,9,12,14,13,11,13,13,15,7,14,13,13,11,133,135
,Mimito Biai,DM/ M (C),25,7,10,12,8,8,8,7,8,7,9,11,12,12,13,12,11,13,13,11,10,10,12,7,12,11,13,12,12,12,13,13,8,13,12,13,12,97,118
,Rabbi Matondo,M/AM (RL),22,11,11,14,11,12,6,5,10,6,6,12,8,7,14,12,13,6,9,6,4,6,15,3,13,5,8,13,9,18,15,9,6,12,18,10,11,123,140
,Tolga Ciğerci,DM/ M (C),31,12,12,11,10,12,12,11,12,8,12,14,12,13,13,15,13,12,13,12,12,11,8,15,10,13,16,12,16,9,10,13,12,11,11,15,13,120,133
,Bernard,AM (RLC),30,13,15,15,10,16,13,9,12,6,5,14,10,6,16,10,10,7,12,10,14,10,16,10,10,6,15,15,12,12,15,8,4,12,12,12,7,125,150
,Guessouma Fofana,D/WB (L)/ DM,30,5,4,10,7,11,6,14,10,5,12,12,8,11,10,16,12,15,11,11,13,11,10,10,12,12,13,13,14,11,11,14,13,12,12,11,15,105,120
,Lucas Silva,DM/ M (C),30,11,11,12,7,14,12,10,14,8,13,15,13,14,14,12,15,13,13,11,14,11,11,13,10,14,15,14,14,10,11,12,11,13,10,10,10,127,136
,Jaidon Anthony,M/AM (L),23,11,12,14,11,13,6,7,8,2,7,12,10,6,14,10,12,8,12,10,12,12,12,5,15,8,14,12,15,16,14,12,8,14,15,14,8,129,146
,David Carmo,D (C),23,6,10,10,8,12,7,14,9,11,14,13,8,11,13,17,12,16,12,11,9,12,7,13,8,13,15,13,14,9,8,15,17,15,14,14,18,125,135
,André Horta,M (C)/ AM (LC),26,13,12,15,9,15,11,7,13,5,4,15,11,5,16,12,12,10,11,12,9,11,14,9,12,11,12,16,13,14,15,11,8,14,14,13,9,130,135
FrA,Rodrigo Caio,D (C),29,6,8,11,9,13,8,15,8,8,15,13,9,14,14,12,12,14,12,11,12,12,11,12,12,14,13,11,12,13,11,12,15,9,13,13,11,130,144
Inj,Alex Santana,DM/ M (C),28,10,11,14,12,13,12,10,15,8,9,14,13,10,14,13,11,10,13,12,13,11,14,10,13,10,12,13,11,14,13,12,11,13,13,12,13,129,136
,Marcel Büchel,DM/ M (C),32,10,12,12,9,12,10,10,13,10,10,14,10,13,14,12,12,14,12,13,13,12,12,13,12,12,13,14,12,11,10,12,9,14,12,11,12,113,129
Wnt,Héctor,ST (C),27,6,6,12,15,12,7,17,5,10,4,7,13,5,13,11,15,9,14,13,13,9,9,8,15,6,11,10,11,13,13,12,13,15,13,12,13,130,132
Wnt,Jacob Greaves,D (LC),22,5,13,11,7,12,5,12,6,7,13,14,5,14,12,12,13,13,12,10,11,10,5,13,12,14,14,13,14,11,12,13,16,14,11,16,11,127,148
,Isaac Cofie,DM/ M (C),31,8,7,9,6,11,5,12,7,8,12,11,9,12,10,15,11,12,10,11,9,9,10,9,7,11,13,11,13,11,12,13,13,16,12,13,13,95,130
,Thiago Mendes,D (C)/ DM/ M (C),31,11,10,10,6,13,12,12,11,8,14,14,10,14,13,11,15,13,12,9,12,10,10,11,8,14,15,13,13,12,12,14,11,14,12,15,14,130,145
,Dominik Kohr,D (C)/ DM/ M (C),29,6,7,10,7,11,6,13,8,7,13,12,7,16,11,17,15,17,11,14,12,14,8,14,10,13,17,11,16,12,11,14,12,16,16,15,14,130,135
,Maximilian Philipp,AM (C)/ ST (C),29,13,10,13,11,16,14,8,14,6,7,13,16,8,16,13,12,9,12,9,12,9,14,6,13,7,12,14,9,13,13,12,10,11,15,11,11,128,143
,Sebastián Cáceres,D (C),23,7,6,10,8,10,4,15,6,12,15,11,11,15,10,14,13,14,13,12,11,11,8,11,13,15,14,8,15,14,11,14,14,13,14,15,14,133,146
,Maycon,DM/ M (C),25,12,9,10,11,13,15,9,15,5,13,15,9,10,13,12,12,10,12,13,12,12,11,11,14,13,14,14,11,14,14,13,6,13,13,15,10,127,148
,Evander,DM/ M/AM (C),25,14,11,15,13,15,14,8,12,3,10,15,13,9,17,12,12,8,13,9,10,6,15,7,13,11,8,15,9,13,14,12,9,14,12,13,9,131,155
,Ponck,D (C)/ DM,28,6,7,7,6,10,5,14,9,8,13,11,9,13,11,12,14,15,8,11,10,10,6,10,9,11,14,8,14,12,10,11,13,15,13,15,16,116,122
,Silvio Junior,ST (C),29,9,7,14,14,14,9,14,10,7,9,8,9,4,14,6,14,9,11,9,14,9,13,13,14,8,9,9,9,14,14,10,7,9,14,8,10,111,112
Lst,Samuel Portugal,GK,29,3,3,1,1,9,1,5,3,2,3,12,2,3,11,10,12,15,14,13,9,10,12,6,7,13,14,11,12,9,15,12,14,11,10,14,15,125,131
Inj,Mauro Júnior,D (L)/ WB (RL)/ M (L)/ AM (LC),24,5,10,14,9,14,9,7,13,12,9,12,9,9,16,13,12,9,12,11,13,10,14,7,15,12,15,14,14,12,13,14,9,11,13,12,7,134,142
,Daniele Baselli,DM/ M (C),31,12,10,11,10,12,11,11,13,6,8,14,13,11,14,11,12,10,12,12,10,12,14,10,12,11,12,14,12,12,12,12,10,10,12,12,10,112,140
,Marco Sportiello,GK,31,1,1,4,1,8,1,5,8,6,1,8,4,9,10,10,14,12,14,12,12,11,3,13,1,13,13,10,12,9,14,13,15,13,11,14,13,132,140
,Dawhan,DM/ M (C),27,6,10,11,11,14,9,12,9,13,14,13,9,12,13,13,13,14,11,11,11,11,9,10,13,13,13,10,14,13,10,13,10,13,9,9,13,111,133
,Vitinho,D/WB/M/AM (RL),23,8,10,13,11,11,8,9,7,8,7,12,9,12,11,7,13,13,12,11,12,7,13,7,12,9,11,11,13,15,13,8,7,10,14,13,7,130,140
,Dorian Babunski,ST (C),26,8,9,14,12,13,12,13,11,6,5,12,14,9,13,11,13,10,13,12,12,9,13,9,14,8,11,13,12,11,11,12,13,12,12,12,12,118,125
,João Victor,D (C),24,6,8,9,7,11,5,13,8,10,14,12,8,14,11,15,15,14,9,9,10,10,10,12,10,13,13,11,11,14,14,10,14,13,16,14,13,127,134
,Yusuf Sarı,AM (RL),24,13,13,17,12,12,12,6,13,5,5,12,8,5,14,13,10,10,10,10,12,13,17,6,13,6,12,13,11,17,18,13,6,12,12,12,7,125,135
,Jon Guridi,DM/ M/AM (C),28,7,12,10,10,14,8,10,12,7,12,13,10,13,14,14,13,15,12,12,12,12,9,11,13,14,15,12,16,12,13,10,9,14,13,14,14,130,135
,Danilo,AM (RL)/ ST (C),24,6,9,14,13,14,10,12,12,5,4,11,17,6,14,8,12,12,14,12,12,10,15,8,13,6,10,11,15,13,15,14,12,15,15,13,12,128,137
,Simone Verdi,AM (RLC)/ ST (C),30,14,14,13,11,14,17,5,15,5,4,14,14,5,15,13,11,10,10,9,10,14,15,8,11,4,13,14,12,12,13,13,4,12,13,11,8,125,145
nEU,Marcos Antonio,DM/ M (C),23,8,10,13,12,14,8,4,11,4,10,14,12,12,15,15,16,11,12,13,15,13,14,6,12,13,14,14,15,13,15,12,6,12,15,12,7,130,140
ESC,Vinicius Souza,DM/ M (C),24,11,11,12,11,13,10,12,11,10,11,14,13,13,12,12,13,13,14,12,14,10,13,10,13,11,13,12,13,13,13,11,13,12,12,14,12,127,145
Inj,Gabriel Veron,AM (RL)/ ST (C),20,8,12,15,13,14,7,8,11,2,8,12,10,9,15,10,12,12,12,9,11,10,15,9,13,6,11,12,12,15,14,12,8,11,14,13,11,127,145
,Brandon Williams,D (RL)/ WB (L),22,4,11,12,10,13,2,10,6,7,12,12,6,15,12,17,12,17,11,11,10,15,8,9,12,12,14,6,15,15,14,14,10,15,14,14,11,126,136
,Luiz Júnior,GK,22,7,2,3,1,10,9,3,3,3,3,12,1,2,10,12,13,14,8,15,11,11,13,7,1,8,13,10,12,12,12,14,16,13,13,11,14,130,140
,Afriyie Acquah,DM/ M (C),31,5,8,12,8,11,6,10,12,5,13,12,8,13,12,17,10,16,12,9,10,16,9,10,12,13,15,12,13,12,12,16,9,16,13,14,11,110,143
,Roque Mesa,DM/ M (RC),34,12,13,12,8,13,9,5,11,11,12,14,12,13,14,14,15,15,13,13,13,14,13,14,13,13,15,13,16,12,12,15,6,13,12,12,11,130,144
,Abdón Prats,AM (C)/ ST (C),30,7,10,11,14,12,9,12,12,11,6,11,12,7,12,12,13,14,13,14,14,12,11,14,15,7,15,13,16,13,13,12,11,15,14,14,12,131,139
,Ballou Tabla,AM (RL),24,9,12,16,12,13,9,7,11,8,5,12,8,7,14,8,11,12,9,7,8,9,16,6,10,6,8,11,9,14,14,9,7,11,13,9,7,105,125
Inj,Sergi Guardiola,AM (RLC)/ ST (C),32,7,11,12,15,12,9,13,13,7,3,13,12,4,13,11,13,13,14,13,13,14,11,12,15,6,12,12,14,11,11,11,14,15,12,12,14,126,136
,Lévy Madinda,M/AM (C),31,12,10,12,9,12,12,10,10,5,7,13,12,8,12,14,12,10,12,12,10,10,12,7,10,11,12,12,10,11,12,12,11,14,11,11,11,95,130
Wnt,Simon Falette,D (LC),31,4,10,9,6,10,9,12,11,10,14,11,7,13,10,9,13,17,10,12,11,14,8,15,6,11,10,9,13,11,8,15,13,15,10,10,16,110,120
,Folarin Balogun,ST (C),22,5,9,13,15,13,8,12,10,4,6,11,11,5,13,10,12,12,13,12,12,11,14,8,15,8,13,12,13,16,16,12,12,12,15,13,11,139,155
