Inf,Name,Media Description,Age,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,CA,PA
,Paul Onuachu,Striker,29,4,9,11,14,11,7,14,11,6,10,12,8,7,11,15,14,16,11,14,13,11,14,6,14,6,14,11,13,9,13,17,20,14,13,13,17,130,136
,Matheus Cunha,Forward,24,12,12,17,15,15,13,11,14,5,4,14,13,6,16,16,11,15,12,6,8,14,17,11,12,5,9,11,13,15,15,14,12,12,15,13,12,144,162
,Andrés Guardado,Veteran midfielder,36,12,12,11,10,14,12,6,13,10,9,16,17,12,14,13,11,17,13,14,13,15,12,15,15,12,15,15,16,12,13,14,8,13,12,12,11,133,148
Inj,Andreas Pereira,Attacking midfielder,27,16,14,12,11,15,14,6,13,2,8,12,14,11,16,14,11,11,11,13,10,16,16,12,13,12,15,15,16,14,14,14,7,15,14,13,9,139,145
,Jonas Svensson,Full-back,30,7,11,9,7,12,9,7,7,12,12,13,10,13,11,16,12,18,12,15,12,14,10,10,9,13,16,11,18,14,14,14,9,18,12,17,11,130,137
,Kasper Dolberg,Striker,25,6,10,12,15,14,12,13,13,5,8,14,16,8,15,8,15,13,13,12,13,10,14,8,14,13,13,14,11,13,14,13,15,12,14,13,13,140,156
,Dries Mertens,Veteran attacking midfielder,36,13,13,13,11,17,13,7,13,3,4,14,16,6,17,14,17,13,15,13,16,15,15,16,15,9,16,15,14,12,15,12,6,15,8,8,7,130,166
,Gary Medel,Veteran midfielder,35,5,12,6,5,11,5,12,8,10,14,14,4,14,12,18,16,18,13,16,12,18,5,15,9,16,18,11,18,10,11,17,9,15,9,11,14,127,152
,Léo Duarte,Centre-back,26,5,7,9,7,11,7,14,5,5,13,12,10,15,11,13,13,14,11,14,13,12,7,10,9,13,13,11,13,10,12,14,12,11,11,13,14,120,145
,Alan Varela,Hard working midfielder,21,4,8,12,7,14,8,8,12,3,14,15,13,14,14,13,14,14,13,13,14,12,14,12,13,14,16,14,15,14,14,14,7,16,13,15,13,144,158
,Djéné Dakonam,Centre-back,31,8,9,9,5,11,7,9,8,12,15,9,8,15,10,16,14,17,14,14,14,11,8,9,11,14,16,10,17,16,14,13,10,16,14,16,15,139,150
,Marten de Roon,Experienced midfielder,32,7,8,10,8,12,5,14,10,10,14,13,6,17,12,16,16,16,14,14,14,14,8,14,12,16,18,12,18,12,12,13,14,16,13,16,14,143,152
,Marc Bartra,Experienced centre-back,32,7,8,11,8,14,7,15,8,12,14,13,9,15,13,15,17,14,13,13,14,12,8,13,8,15,12,12,14,11,12,13,12,12,13,13,12,139,145
,Nélson Semedo,Attacking full back,29,8,12,14,9,15,8,7,10,11,11,12,8,14,15,13,14,13,9,10,11,13,14,6,15,12,14,12,15,16,16,14,8,15,16,15,13,143,164
,Milot Rashica,Winger,27,12,12,14,12,13,9,6,12,7,10,12,10,7,14,14,12,13,12,14,13,10,14,7,12,9,16,11,15,14,15,12,7,13,14,14,12,130,146
,Jeremie Frimpong,Attacking full back,22,7,13,16,11,12,7,6,8,8,9,12,7,11,14,13,12,13,11,10,12,12,16,7,16,9,12,12,15,18,17,11,7,16,18,15,10,146,164
,Aïssa Mandi,Centre-back,31,6,15,11,5,12,6,14,5,12,15,14,6,15,12,15,15,16,12,13,12,14,7,12,12,14,14,13,14,13,13,14,13,15,14,13,14,139,148
,John McGinn,Midfielder,28,12,13,14,14,13,10,13,13,9,10,14,10,13,15,15,14,14,12,13,11,14,13,13,13,13,16,14,17,14,13,14,9,16,14,17,15,153,155
Wnt,Yves Bissouma,Defensive midfielder,26,8,11,16,9,16,13,12,13,7,14,14,13,16,15,13,15,14,17,14,14,12,14,11,12,14,15,10,16,16,14,13,12,14,14,16,15,156,165
,Marcus Edwards,Confident winger,24,13,13,18,14,15,13,11,12,5,6,15,14,6,17,8,13,8,12,11,11,8,18,5,15,7,10,14,8,16,17,15,7,14,15,14,6,143,150
,Pathé Ciss,Defensive midfielder,29,7,7,11,7,14,7,12,10,7,13,14,8,15,12,14,15,12,12,11,11,8,12,8,7,15,15,14,14,14,13,12,14,15,14,16,16,133,138
Wnt,Emerson Royal,Full-back,24,12,9,9,12,13,8,11,11,14,15,12,11,15,12,8,12,13,11,13,12,11,12,11,12,14,15,12,16,14,14,13,11,13,15,15,15,138,153
,Jarrod Bowen,Attacking midfielder,26,13,14,14,13,15,12,10,14,4,5,13,13,8,14,8,14,8,15,10,14,15,14,5,16,8,15,13,17,15,15,11,8,14,15,15,8,155,160
,Sergio Reguilón,Full-back,26,10,12,12,10,13,9,11,11,13,13,12,12,14,13,15,14,14,13,12,14,13,12,12,15,13,15,12,16,15,14,13,8,15,15,15,12,140,152
Wnt,Joachim Andersen,Centre-back,27,8,10,10,8,13,11,14,8,5,15,16,10,14,14,14,15,13,15,14,13,13,11,13,11,14,14,14,12,13,11,13,17,14,12,13,14,147,151
,Rafa,Attacking midfielder,30,11,11,13,12,14,11,5,12,5,6,14,12,9,15,13,13,11,10,11,12,11,19,10,17,7,9,13,11,18,18,15,5,16,17,13,6,146,158
,Rafael Toloi,Experienced centre-back,32,7,7,11,7,12,6,14,7,11,16,13,7,15,13,17,16,15,13,13,12,13,9,14,11,13,14,11,16,13,11,13,13,15,13,14,15,139,150
,Mathias Jensen,Midfielder,27,13,13,13,10,14,12,9,11,17,9,14,11,13,14,9,14,13,14,13,14,12,14,13,13,12,14,16,15,12,12,12,10,13,12,13,12,142,145
,Djibril Sow,Midfielder,26,11,8,12,8,14,10,9,12,6,12,14,10,12,14,16,13,12,13,12,13,11,13,13,12,13,14,14,16,13,13,15,11,15,15,17,12,136,144
Opt,Eric Dier,Centre-back,29,7,12,11,9,13,11,17,11,5,13,12,8,16,13,16,12,16,13,11,11,14,5,13,11,12,15,12,15,11,10,11,15,14,11,13,16,133,156
,Nuno Santos,Winger,28,15,16,13,14,14,14,7,14,10,11,15,10,8,15,16,10,14,11,13,11,16,14,11,14,8,15,15,16,15,13,15,7,13,15,14,8,140,145
Inj,Mauro Arambarri,Defensive midfielder,27,8,10,12,10,13,11,8,12,4,13,13,6,15,13,15,14,16,13,15,13,13,11,8,12,14,16,12,16,12,12,14,6,12,13,16,13,135,149
Inj,Jurriën Timber,Enthusiastic centre-back,22,4,9,10,7,14,9,13,7,7,13,15,8,13,15,13,14,14,15,14,14,14,12,10,13,15,16,12,15,14,15,13,13,12,15,14,12,143,158
,Kerem Aktürkoğlu,Winger,24,13,10,14,13,13,14,6,13,4,3,12,12,3,15,13,15,14,12,12,13,16,15,13,16,4,14,16,13,17,18,12,7,14,12,14,8,140,147
,Davy Klaassen,Midfielder,30,6,11,11,14,14,8,13,12,5,7,14,13,11,13,17,16,13,13,15,15,16,13,13,14,12,18,14,18,11,13,14,11,17,12,13,12,135,145
,Pierre-Emile Højbjerg,Tenacious midfielder,27,12,12,11,11,14,13,8,9,10,10,12,13,15,14,17,15,15,14,14,12,16,11,17,13,12,16,13,17,11,11,14,12,20,14,18,15,138,165
,Matteo Pessina,Midfielder,26,8,11,14,12,14,7,13,12,4,8,15,14,12,14,15,14,15,13,14,13,15,14,14,15,11,15,14,15,14,13,13,13,13,14,14,12,138,145
,Pedro Gonçalves,Attacking midfielder,25,12,13,15,16,15,14,8,14,10,6,14,8,9,16,11,16,8,14,12,14,12,14,12,15,10,11,15,13,14,15,14,8,16,14,14,9,147,157
,Batista Mendy,Defensive midfielder,23,8,9,11,8,12,8,14,7,4,13,13,6,14,13,13,13,15,15,12,12,13,11,9,7,13,13,13,14,11,13,14,15,13,11,15,16,128,142
,Emile Smith Rowe,Committed attacking midfielder,22,11,12,14,12,14,12,5,13,2,6,15,11,8,15,13,14,11,13,12,13,13,15,8,15,8,15,15,15,16,15,15,8,13,14,14,9,140,148
,Santiago Arias,Full-back,31,9,13,11,6,12,11,9,11,13,12,14,8,13,12,15,13,13,13,12,12,15,13,10,13,14,15,13,15,14,14,13,9,10,15,15,12,136,144
Wnt,Marko Livaja,Attacking midfielder,29,13,13,14,15,15,12,12,13,4,4,13,17,5,15,11,14,12,15,10,11,9,17,13,14,6,11,14,10,14,11,18,11,12,12,12,15,138,144
,Giovani Lo Celso,Attacking midfielder,27,11,12,14,11,15,13,10,13,8,9,16,14,14,16,12,13,14,15,11,13,13,15,10,14,12,16,14,14,13,14,15,9,11,12,13,11,140,151
,Federico Bernardeschi,Winger,29,14,14,12,10,15,13,10,12,5,7,13,13,8,14,12,9,8,9,10,8,13,14,11,14,11,13,12,14,15,14,12,10,15,15,15,13,138,152
Wnt,Seiya Maikuma,Full-back,25,6,15,13,11,15,10,15,11,6,10,14,10,14,15,9,15,11,11,13,13,12,11,3,9,11,12,12,15,14,13,11,14,15,12,12,15,136,140
,Lorenzo De Silvestri,Attacking full back,35,8,11,10,9,11,4,15,6,15,12,11,4,11,11,14,13,16,14,12,13,16,8,14,12,13,17,8,16,13,12,14,15,13,13,12,15,127,144
IPR,Stephen Eustáquio,Defensive midfielder,26,13,13,13,12,14,11,11,12,11,8,15,10,12,14,13,15,14,15,13,14,12,12,12,14,13,15,16,14,13,14,14,9,16,12,15,8,138,146
Wnt,Carlos Vela,Veteran winger,34,13,14,16,15,16,14,8,13,1,4,15,14,5,17,10,14,12,13,10,11,9,17,13,16,8,9,15,7,13,16,12,7,7,13,9,7,122,160
,Elber,Winger,31,12,12,16,10,15,5,8,4,11,8,12,11,9,13,11,13,12,8,9,10,11,15,4,13,7,10,13,16,15,17,11,6,17,17,15,9,136,136
nEU,Arthur,Defensive midfielder,26,12,12,15,8,16,12,7,10,5,10,17,11,12,16,10,16,12,14,15,14,11,14,9,8,14,14,12,12,13,16,17,8,9,12,14,11,141,154
,Daniel Amartey,Centre-back,28,6,8,8,6,12,8,15,10,8,14,12,9,15,12,15,12,15,11,10,11,15,5,8,10,12,15,10,14,12,12,14,13,11,12,14,14,125,145
,Adama Traoré,Dynamic winger,27,6,12,18,10,10,8,11,11,7,7,11,9,7,12,12,9,11,10,8,6,12,18,5,9,10,9,8,9,19,15,15,14,12,19,10,17,137,154
,Sebastian Szymański,Attacking midfielder,24,16,13,10,13,16,13,8,17,8,12,13,12,12,16,15,16,14,16,11,15,15,14,13,16,10,17,12,16,14,15,12,7,16,9,17,8,140,150
,Matteo Politano,Winger,29,16,15,14,13,15,14,8,16,11,6,14,16,7,14,7,14,11,15,12,14,12,14,10,16,8,14,13,14,15,16,12,7,14,15,13,9,147,153
,Ousmane Diomande,Wonderkid,19,4,11,13,8,14,4,11,10,9,14,15,5,15,14,10,13,11,16,10,13,13,11,12,7,13,14,16,13,14,13,14,15,18,15,15,16,142,180
,Raúl Jiménez,Experienced striker,32,6,11,13,13,12,8,13,13,6,8,13,16,9,14,17,13,13,14,14,12,14,9,8,14,10,15,11,16,13,12,14,15,14,13,12,13,135,155
Lst,Saúl,Midfielder,28,13,12,15,13,13,13,15,12,7,13,15,12,13,16,8,13,12,14,14,11,13,15,13,14,14,14,15,14,13,13,12,13,12,13,14,11,137,162
nEU,Alex Sandro,Full-back,32,11,14,13,9,14,8,14,10,13,13,14,9,15,14,11,15,14,14,11,13,11,14,12,10,16,14,12,15,11,12,13,12,16,13,13,13,135,162
,Pape Matar Sarr,Wonderkid,20,7,7,13,9,15,8,10,10,8,12,14,9,13,14,11,16,16,15,15,14,14,13,10,13,14,14,14,14,14,14,15,12,14,13,17,15,148,178
Wnt,Matheus Reis,Attacking full back,28,11,11,13,11,14,8,10,12,13,13,14,11,14,15,14,13,12,15,14,13,12,11,7,12,13,13,14,14,13,12,16,12,15,13,14,14,139,142
Wnt,Óscar Mingueza,Full-back,24,5,13,12,8,12,6,14,10,11,13,13,5,15,13,13,14,15,14,12,12,13,7,13,11,14,15,13,16,13,12,14,13,15,14,14,13,136,146
nEU,Weston McKennie,Tenacious midfielder,24,7,13,13,11,12,7,16,10,19,10,13,8,15,12,15,15,17,14,10,11,15,12,13,15,13,16,13,16,14,12,16,14,18,13,16,16,146,153
Wnt,Matías Arezo,Striker,20,12,13,13,14,14,14,13,12,7,11,11,14,11,14,15,13,12,13,9,11,12,14,14,14,7,10,10,14,15,13,13,12,15,12,14,11,131,146
,Johan Mojica,Attacking full back,30,13,13,14,9,12,13,11,10,12,9,13,6,11,13,14,12,12,10,10,10,11,13,7,14,11,11,12,13,16,14,14,10,17,17,15,11,136,142
,Unai Núñez,Centre-back,26,7,7,7,8,11,8,14,10,10,16,12,9,15,12,14,13,15,11,12,13,11,7,11,8,14,15,13,14,12,12,11,14,14,12,14,14,136,152
,Diego Llorente,Centre-back,29,6,6,10,6,13,3,14,6,6,14,14,9,14,14,13,15,17,14,11,12,10,8,12,9,15,15,14,15,13,13,9,13,13,15,14,14,137,150
,Yuya Osako,Experienced striker,33,7,10,13,16,13,12,13,4,11,7,13,17,13,13,16,13,14,10,12,15,10,13,7,13,7,15,13,15,12,11,13,12,15,9,9,14,134,144
Inj,Felipe,Veteran centre-back,34,6,6,10,8,11,7,15,7,7,16,12,11,14,12,18,14,16,11,14,12,14,7,17,9,14,14,9,15,11,12,13,16,16,12,13,16,139,152
,Leandro Cabrera,Powerful centre-back,32,4,8,6,4,8,7,13,8,18,15,8,5,15,8,16,12,18,11,16,12,16,6,14,8,15,18,9,18,10,10,9,16,9,14,14,16,136,145
,Çağlar Söyüncü,Centre-back,27,4,7,11,7,12,5,14,8,8,15,10,8,16,10,12,14,16,11,11,10,14,9,10,7,14,13,12,14,14,12,15,16,13,12,13,15,136,162
Inj,Jerry St. Juste,Centre-back,26,4,10,13,8,12,6,14,8,13,14,13,6,14,13,14,14,14,12,13,12,12,13,8,11,13,14,12,12,16,12,14,13,3,17,13,14,138,146
,Hamari Traoré,Full-back,31,10,13,11,7,12,8,12,7,15,13,12,5,12,12,15,13,13,11,12,13,10,12,9,13,13,14,11,16,15,13,12,10,16,15,17,12,136,138
,Omar Alderete,Centre-back,26,3,8,10,6,11,6,16,4,12,15,10,11,15,10,17,13,18,13,14,13,12,6,8,10,15,13,7,13,11,10,15,15,15,13,14,15,136,149
,Levi Colwill,Wonderkid,20,7,7,11,5,13,5,13,2,6,13,14,11,14,14,10,12,11,16,12,14,14,5,13,11,14,12,12,14,15,12,15,15,14,15,14,13,143,165
,Tino Livramento,Full-back,20,7,14,14,7,13,7,11,5,9,11,13,7,14,14,12,13,12,11,10,13,13,12,10,12,13,12,10,14,16,12,13,11,14,15,14,12,140,152
,Rodrigo Becão,Centre-back,27,3,5,6,6,10,6,15,5,6,16,12,6,16,10,17,15,18,10,14,14,14,4,12,5,15,16,9,12,13,12,15,15,15,11,14,16,137,145
,Lucas Veríssimo,Powerful centre-back,27,5,9,11,10,11,5,15,8,11,15,13,7,14,11,17,14,17,13,14,14,15,7,14,8,15,12,8,13,12,10,12,15,11,13,12,16,138,152
,Donny van de Beek,Attacking midfielder,26,11,13,13,12,15,13,11,12,7,10,15,11,10,15,11,12,12,14,11,12,13,13,10,16,8,16,13,17,11,14,13,13,12,12,15,10,133,150
,Alessandro Florenzi,Attacking full back,32,12,14,13,8,13,13,9,12,11,13,13,11,13,14,14,13,15,14,14,13,14,10,14,14,12,14,11,14,14,14,12,8,11,13,14,10,139,154
,Ivan Cavaleiro,Winger,29,11,12,13,14,14,8,8,11,3,3,14,12,4,15,14,12,12,11,9,11,12,16,8,15,11,12,13,14,15,14,11,8,10,14,12,11,130,138
,Mário Rui,Full-back,32,13,16,11,6,13,12,8,11,12,14,14,6,15,13,13,14,15,13,16,14,13,12,9,13,13,16,13,16,15,15,14,6,15,15,12,11,139,150
,Islam Slimani,Veteran striker,35,8,10,11,14,12,9,16,9,5,6,14,13,8,12,17,16,18,14,12,14,14,13,12,14,10,15,13,15,9,11,15,15,8,9,12,15,126,156
,Reiss Nelson,Winger,23,12,12,15,11,14,12,6,13,8,5,13,10,6,15,12,12,13,13,11,12,10,16,5,14,5,12,13,14,17,16,14,7,14,16,12,10,145,147
,Héctor Herrera,Experienced midfielder,33,13,11,12,9,12,13,11,12,9,10,15,11,13,13,14,14,16,14,13,14,12,11,16,13,13,14,13,14,11,12,14,12,16,11,13,13,140,153
,João Mário,Midfielder,30,14,14,14,14,15,12,7,11,4,6,16,18,7,16,10,8,8,18,9,15,9,12,13,14,10,11,15,8,12,13,16,9,14,13,12,11,138,155
,Lucas Boyé,Nomadic striker,27,9,10,16,12,13,11,14,12,6,7,10,12,7,14,11,11,10,11,10,9,9,15,7,12,6,15,11,18,15,13,15,12,12,15,13,17,135,141
,Manor Solomon,Winger,23,10,14,17,13,14,14,8,13,10,8,14,2,8,15,7,13,11,15,12,12,13,11,9,12,8,10,12,10,13,13,13,7,13,14,14,13,135,146
,Pablo Barrios,Wonderkid,20,9,11,13,10,15,11,6,14,8,12,15,4,12,15,13,13,12,13,13,14,12,14,11,12,13,14,15,14,13,13,12,8,11,12,13,10,137,152
,Yuri,Experienced full-back,33,12,14,12,8,12,12,13,14,14,14,13,9,15,14,15,13,14,11,14,13,13,10,10,14,15,13,11,14,13,12,15,13,17,13,13,14,138,155
,Borja Iglesias,Striker,30,6,9,12,15,12,9,13,11,6,8,12,16,8,12,13,14,15,13,13,13,12,12,13,13,8,13,12,14,12,11,12,13,13,11,11,15,136,155
nEU,Ederson,Midfielder,23,8,11,14,13,14,8,14,13,6,12,14,10,13,15,13,16,12,13,13,14,13,15,8,16,13,15,14,14,14,14,13,10,12,14,15,13,149,157
,Kristoffer Ajer,Centre-back,25,6,8,12,10,12,7,15,9,10,14,13,11,14,13,16,14,16,14,13,12,16,7,15,11,13,14,13,15,13,11,13,16,15,14,14,14,140,151
,Roger Ibañez,Centre-back,24,5,8,11,9,12,4,16,9,10,15,14,6,17,12,17,15,17,11,10,12,9,8,8,9,14,12,10,12,14,13,13,14,17,16,15,15,140,160
,Sergiño Dest,Attacking full back,22,8,13,14,7,13,8,7,9,10,12,13,9,11,14,10,12,12,10,11,10,11,17,9,14,11,13,11,12,16,16,11,7,9,15,15,7,138,149
,Willian,Veteran winger,34,10,14,16,12,17,14,9,14,8,5,13,17,8,16,9,14,9,13,11,14,8,14,8,14,7,14,14,14,12,14,13,9,12,12,12,11,136,150
,Jonathan dos Santos,Experienced midfielder,33,16,15,11,8,14,10,9,14,8,12,16,12,11,14,14,13,13,12,12,13,9,9,12,10,11,13,14,12,13,12,13,7,9,11,11,12,119,148
,Callum Hudson-Odoi,Winger,22,12,14,14,10,15,12,7,8,5,7,14,11,7,15,7,11,8,12,9,12,8,15,3,14,7,10,14,11,16,15,12,11,12,15,12,8,135,150
,Ryan Gravenberch,Midfielder,21,13,12,14,10,15,13,12,13,6,9,15,10,12,15,11,13,13,14,12,13,13,15,8,14,11,12,14,12,13,15,14,14,13,13,14,13,141,155
,Fernandinho,Veteran midfielder,38,10,9,13,11,15,10,14,12,6,13,15,13,14,16,15,14,16,16,18,16,14,10,15,15,13,17,12,17,11,11,14,11,14,11,11,13,140,165
,Julian Draxler,Winger,29,13,13,16,14,17,11,8,14,6,4,15,10,4,16,10,12,9,14,10,11,8,15,7,15,6,14,15,10,12,13,12,12,8,12,11,11,135,150
,Asier Illarramendi,Experienced midfielder,33,11,10,11,11,13,12,8,14,6,14,15,9,14,15,15,13,14,14,16,15,7,7,12,9,15,19,15,17,10,11,13,10,11,9,11,13,135,155
Inj,Shunta Tanaka,Centre-back,26,9,10,13,11,16,10,14,1,5,12,16,10,14,16,12,15,11,9,12,13,8,11,12,7,16,12,13,13,10,12,14,14,15,10,10,15,133,134
Wnt,Pierre Kalulu,Centre-back,23,6,13,11,8,13,5,12,8,11,15,12,8,15,13,13,14,13,13,14,13,13,6,12,13,14,16,13,14,14,13,14,12,14,16,15,13,141,148
,Kyogo Furuhashi,Striker,28,7,10,10,13,13,7,7,13,5,5,11,12,10,14,15,16,10,12,14,11,16,13,8,18,8,16,13,17,16,15,12,6,14,15,15,7,136,148
,Ethan Ampadu,Centre-back,22,6,9,9,6,12,6,12,5,12,14,13,7,15,11,12,14,16,15,13,13,10,7,14,7,14,13,13,13,13,11,15,13,13,14,13,12,136,143
,Ross Barkley,Cultured defensive midfielder,29,13,11,16,12,16,14,12,15,9,6,16,12,8,16,9,14,11,13,12,11,10,15,13,11,11,11,15,13,13,11,14,12,12,13,12,15,141,159
,Denis Suárez,Attacking midfielder,29,12,13,13,11,15,12,6,12,8,6,15,11,10,15,9,15,9,13,11,12,10,15,8,13,8,14,16,13,11,13,11,9,12,11,11,10,134,156
,Maximiliano Meza,Attacking midfielder,30,12,12,15,12,14,11,11,12,5,8,14,12,6,16,8,13,14,14,13,11,16,15,12,17,8,14,13,13,14,16,12,10,12,13,13,13,134,136
,Tomáš Souček,Midfielder,28,2,8,10,14,9,2,18,12,2,14,10,13,15,11,15,14,17,15,15,15,14,5,12,14,15,17,10,18,13,9,15,17,18,12,19,16,140,155
,Nicolás Domínguez,Defensive midfielder,25,5,11,11,8,15,6,13,11,5,9,16,9,17,15,17,13,15,13,13,13,14,11,11,12,13,15,16,15,12,13,11,11,15,12,17,11,139,152
Inj,Patrik Schick,Striker,27,4,8,13,15,16,12,16,12,6,6,12,12,6,16,11,14,12,14,13,13,11,15,10,14,7,11,12,12,13,13,15,16,11,15,12,15,141,155
,Takumi Minamino,Attacking midfielder,28,10,12,14,13,14,10,7,12,5,8,14,10,7,15,12,14,14,12,14,11,13,15,7,14,8,14,14,16,15,16,15,8,14,13,14,8,140,150
,Nemanja Gudelj,Defensive midfielder,31,6,10,9,10,14,12,15,15,11,12,14,12,14,13,16,13,15,13,13,13,14,11,14,11,12,15,11,17,12,13,13,14,14,14,14,15,136,144
Trn,Endrick,Wonderkid,16,8,11,17,15,15,12,10,12,5,7,11,12,7,14,12,14,12,14,11,13,11,18,7,13,7,10,12,12,16,14,15,7,18,15,13,16,143,177
,António Silva,Wonderkid,19,7,9,12,8,13,6,13,6,6,14,14,11,15,14,11,14,13,15,14,14,13,12,13,7,13,14,13,13,13,14,13,14,15,14,15,13,143,155
,Anthony Gordon,Winger,22,11,13,15,11,13,12,7,13,5,8,12,12,11,14,13,12,13,13,12,13,15,15,9,13,6,14,11,15,17,14,13,11,10,16,14,9,149,156
Inj,Jack Harrison,Winger,26,13,12,11,11,17,10,5,11,5,4,11,9,6,13,11,11,13,11,10,8,15,14,7,13,10,13,12,15,14,12,14,7,17,15,17,9,136,148
,Ruslan Malinovskyi,Attacking midfielder,30,16,13,15,12,16,16,4,17,4,6,14,14,10,16,15,12,12,13,12,13,12,16,8,13,6,11,14,15,13,12,16,9,16,12,11,15,137,155
,Callum McGregor,Defensive midfielder,30,8,8,13,11,14,7,9,12,5,12,14,13,12,16,15,13,11,15,13,14,14,10,18,13,13,15,13,16,13,13,12,9,18,12,17,10,143,150
Wnt,Nemanja Maksimović,Defensive midfielder,28,12,12,12,11,13,8,9,11,6,11,14,9,12,12,13,14,13,14,13,13,13,12,13,13,14,15,14,16,13,12,12,13,14,14,15,15,139,150
,Sergio Canales,Experienced attacking midfielder,32,12,11,14,13,16,12,7,12,9,6,16,12,6,16,7,15,11,12,12,14,10,16,14,15,9,13,16,13,14,14,13,7,12,12,12,11,137,160
,Lisandro Martínez,Powerful centre-back,25,6,9,11,7,14,8,14,6,12,15,15,10,16,15,17,16,17,16,14,14,15,10,13,10,16,14,14,15,13,13,14,12,15,13,15,15,155,160
,Corentin Tolisso,Defensive midfielder,28,12,12,10,14,13,11,15,14,8,12,14,12,12,14,14,14,13,13,13,13,14,12,14,9,13,15,14,11,11,10,12,13,9,11,9,12,128,145
Wnt,Joe Gomez,Centre-back,26,4,13,11,2,15,5,15,3,16,15,14,4,15,14,14,13,15,14,14,14,11,5,10,11,15,16,7,14,16,15,14,14,15,16,15,15,151,164
Inj,Bryan Gil,Winger,22,10,14,16,13,13,10,8,11,6,6,12,10,5,14,10,13,9,11,11,12,13,17,7,14,5,10,13,12,16,15,14,7,12,14,13,8,135,142
,Kang-In Lee,Cultured winger,22,13,13,16,13,15,12,8,15,7,6,15,13,6,15,13,14,12,12,13,12,14,17,10,13,8,11,15,13,14,15,13,8,12,12,12,10,144,155
Trn,Davide Frattesi,Midfielder,23,5,9,14,15,14,6,14,14,5,10,14,12,12,14,13,15,14,16,14,15,13,13,11,17,12,14,13,14,15,15,14,13,16,15,15,12,149,164
,João Mário,Full-back,23,11,15,15,10,14,7,6,9,11,8,13,8,12,15,11,11,12,13,11,12,11,15,9,13,11,12,13,13,15,15,13,8,14,16,14,8,140,145
Wnt,Leon Bailey,Winger,25,13,14,15,14,12,10,7,14,11,4,11,12,7,14,13,14,12,11,10,12,13,17,8,13,9,12,12,14,17,16,10,12,14,17,13,9,148,160
,Fábio Vieira,Midfielder,23,14,14,15,12,16,14,8,13,5,6,16,13,8,17,12,14,12,15,12,15,11,15,10,14,9,13,16,14,14,15,15,6,13,14,14,9,143,150
,Emil Forsberg,Cultured attacking midfielder,31,16,13,13,12,15,14,8,15,7,8,15,17,8,15,11,13,12,15,13,13,11,14,12,14,9,14,15,12,13,13,15,7,14,13,12,10,140,150
,Rob Holding,Centre-back,27,2,6,10,5,13,6,14,5,11,15,12,5,15,12,13,14,15,12,14,12,12,8,13,5,14,15,12,15,13,13,13,15,14,12,15,13,134,155
nEU,Nikola Milenković,Centre-back,25,5,8,8,10,11,6,16,5,9,15,13,6,15,12,17,14,15,12,12,13,13,7,11,8,15,15,11,15,13,12,14,17,16,14,13,16,142,153
,Eljif Elmas,Midfielder,23,13,12,14,12,15,12,12,13,6,8,15,13,9,15,14,13,13,15,11,13,11,14,8,15,11,14,13,15,14,14,14,12,15,13,12,12,138,148
,João Moutinho,Veteran midfielder,36,13,14,14,10,16,13,7,13,4,11,16,14,13,16,14,14,14,14,15,15,14,15,14,12,14,17,16,15,9,12,13,8,14,9,13,10,139,154
,Diogo Dalot,Full-back,24,9,13,13,8,14,6,12,7,13,12,13,10,13,13,13,14,12,13,12,12,12,11,8,13,14,14,11,15,14,14,13,13,15,14,15,13,144,154
,Samuel Gustafson,Defensive midfielder,28,14,12,12,10,14,13,12,12,8,13,15,13,13,15,8,15,10,13,13,14,10,13,13,12,13,13,15,14,11,11,14,14,12,12,14,14,137,140
,Andrés Iniesta,Veteran midfielder,39,13,12,14,10,20,13,4,8,6,4,18,12,6,20,8,17,10,17,12,16,12,19,13,13,7,16,20,8,9,10,11,5,12,7,8,6,130,185
,Georginio Wijnaldum,Experienced midfielder,32,8,11,15,11,15,6,12,8,6,12,14,7,13,15,12,15,12,15,13,14,11,12,14,14,14,15,12,13,13,14,17,11,18,12,14,13,140,160
,Alejandro Garnacho,Wonderkid,19,6,12,15,14,14,10,5,10,2,2,12,14,5,14,13,10,13,13,10,10,12,16,4,14,4,10,11,14,17,15,13,9,14,17,15,10,144,157
,Manuel Locatelli,Defensive midfielder,25,11,11,12,10,15,10,13,14,5,13,15,11,16,14,14,13,15,14,15,12,15,13,14,13,15,17,14,16,12,13,14,13,14,13,14,13,146,155
,Miguel Gutiérrez,Attacking full back,21,11,15,13,9,13,7,7,8,13,10,14,9,13,14,12,13,13,13,13,14,14,14,12,14,11,14,14,12,14,13,12,11,15,13,13,11,142,158
,Miguel Almirón,Winger,29,10,10,14,12,12,10,6,10,4,8,12,11,12,12,7,14,12,10,12,11,14,13,6,15,14,15,13,20,16,16,13,6,15,17,15,10,140,158
,Alejandro Gómez,Midfield orchestrator,35,14,15,17,12,17,13,5,16,4,4,16,14,5,17,12,14,13,12,11,14,13,17,15,14,4,13,17,11,12,13,14,5,12,10,8,7,131,161
